"","tile_name","Canal","River_length"
"1","HP4800",0,1616
"2","HP4801",0,299
"3","HP4803",0,558
"4","HP4804",0,1203
"5","HP4900",0,709
"6","HP4901",0,371
"7","HP4903",0,180
"8","HP4904",0,483
"9","HP5000",0,1506
"10","HP5001",0,553
"11","HP5002",0,1179
"12","HP5003",0,5
"13","HP5004",0,656
"14","HP5005",0,35
"15","HP5101",0,629
"16","HP5104",0,68
"17","HP5105",0,221
"18","HP5200",0,114
"19","HP5204",0,1676
"20","HP5205",0,183
"21","HP5300",0,670
"22","HP5302",0,643
"23","HP5303",0,1603
"24","HP5304",0,1367
"25","HP5402",0,653
"26","HP5403",0,390
"27","HP5404",0,43
"28","HP5601",0,500
"29","HP5703",0,2213
"30","HP5704",0,367
"31","HP5706",0,33
"32","HP5707",0,617
"33","HP5800",0,793
"34","HP5801",0,1971
"35","HP5802",0,1
"36","HP5803",0,1447
"37","HP5804",0,398
"38","HP5806",0,203
"39","HP5810",0,1254
"40","HP5811",0,573
"41","HP5900",0,22
"42","HP5901",0,975
"43","HP5902",0,1845
"44","HP5904",0,898
"45","HP5905",0,359
"46","HP5906",0,1459
"47","HP5907",0,793
"48","HP5908",0,969
"49","HP5909",0,980
"50","HP5910",0,1737
"51","HP5911",0,228
"52","HP5912",0,920
"53","HP5913",0,120
"54","HP5914",0,1366
"55","HP6001",0,1097
"56","HP6002",0,1352
"57","HP6003",0,555
"58","HP6004",0,225
"59","HP6005",0,1449
"60","HP6007",0,391
"61","HP6008",0,2026
"62","HP6009",0,1075
"63","HP6010",0,294
"64","HP6011",0,0
"65","HP6012",0,191
"66","HP6013",0,1287
"67","HP6014",0,1615
"68","HP6100",0,513
"69","HP6101",0,592
"70","HP6102",0,356
"71","HP6104",0,465
"72","HP6107",0,1292
"73","HP6108",0,921
"74","HP6109",0,1193
"75","HP6112",0,901
"76","HP6113",0,556
"77","HP6114",0,262
"78","HP6200",0,537
"79","HP6204",0,469
"80","HP6207",0,1215
"81","HP6208",0,1325
"82","HP6209",0,1355
"83","HP6211",0,865
"84","HP6212",0,1664
"85","HP6213",0,394
"86","HP6307",0,1627
"87","HP6308",0,106
"88","HP6309",0,721
"89","HP6311",0,624
"90","HP6312",0,2109
"91","HP6313",0,329
"92","HP6314",0,190
"93","HP6412",0,1667
"94","HP6413",0,1006
"95","HP6414",0,1354
"96","HP6416",0,453
"97","HP6513",0,375
"98","HP6514",0,881
"99","HP6516",0,1178
"100","HP6616",0,66
"101","HT9540",0,956
"102","HT9638",0,456
"103","HT9639",0,1569
"104","HT9640",0,933
"105","HT9738",0,254
"106","HU1750",0,774
"107","HU1751",0,897
"108","HU1752",0,751
"109","HU1756",0,642
"110","HU1757",0,276
"111","HU1850",0,408
"112","HU1852",0,1863
"113","HU1856",0,100
"114","HU1857",0,2432
"115","HU1949",0,1247
"116","HU1950",0,2149
"117","HU1951",0,684
"118","HU1952",0,1602
"119","HU1953",0,1434
"120","HU1954",0,1091
"121","HU1956",0,2371
"122","HU1957",0,2677
"123","HU2049",0,2656
"124","HU2050",0,2054
"125","HU2053",0,907
"126","HU2054",0,32
"127","HU2055",0,1644
"128","HU2056",0,2222
"129","HU2057",0,2178
"130","HU2147",0,517
"131","HU2148",0,814
"132","HU2149",0,682
"133","HU2150",0,1721
"134","HU2151",0,989
"135","HU2153",0,210
"136","HU2154",0,713
"137","HU2155",0,181
"138","HU2156",0,431
"139","HU2157",0,1297
"140","HU2158",0,24
"141","HU2177",0,588
"142","HU2178",0,0
"143","HU2179",0,1702
"144","HU2180",0,309
"145","HU2246",0,616
"146","HU2248",0,294
"147","HU2249",0,1282
"148","HU2250",0,489
"149","HU2253",0,1149
"150","HU2254",0,239
"151","HU2255",0,324
"152","HU2257",0,472
"153","HU2278",0,315
"154","HU2349",0,62
"155","HU2350",0,2367
"156","HU2351",0,404
"157","HU2352",0,104
"158","HU2353",0,210
"159","HU2354",0,31
"160","HU2356",0,38
"161","HU2377",0,501
"162","HU2378",0,521
"163","HU2379",0,593
"164","HU2383",0,52
"165","HU2448",0,173
"166","HU2449",0,1052
"167","HU2450",0,1587
"168","HU2451",0,386
"169","HU2452",0,989
"170","HU2453",0,811
"171","HU2455",0,641
"172","HU2456",0,0
"173","HU2478",0,428
"174","HU2479",0,2958
"175","HU2480",0,3302
"176","HU2482",0,1696
"177","HU2483",0,620
"178","HU2548",0,244
"179","HU2549",0,57
"180","HU2550",0,211
"181","HU2551",0,5
"182","HU2552",0,939
"183","HU2553",0,951
"184","HU2554",0,326
"185","HU2555",0,0
"186","HU2556",0,423
"187","HU2557",0,189
"188","HU2558",0,175
"189","HU2579",0,1237
"190","HU2580",0,1246
"191","HU2581",0,1189
"192","HU2582",0,2110
"193","HU2583",0,372
"194","HU2644",0,582
"195","HU2645",0,513
"196","HU2650",0,32
"197","HU2651",0,94
"198","HU2652",0,181
"199","HU2655",0,575
"200","HU2656",0,84
"201","HU2657",0,99
"202","HU2678",0,121
"203","HU2679",0,536
"204","HU2680",0,182
"205","HU2681",0,895
"206","HU2683",0,45
"207","HU2743",0,463
"208","HU2744",0,572
"209","HU2745",0,1342
"210","HU2748",0,595
"211","HU2749",0,505
"212","HU2750",0,928
"213","HU2751",0,3146
"214","HU2752",0,51
"215","HU2753",0,793
"216","HU2757",0,798
"217","HU2776",0,249
"218","HU2777",0,208
"219","HU2778",0,1701
"220","HU2779",0,406
"221","HU2842",0,550
"222","HU2843",0,1314
"223","HU2844",0,141
"224","HU2845",0,1496
"225","HU2846",0,1909
"226","HU2847",0,348
"227","HU2849",0,1691
"228","HU2850",0,1843
"229","HU2851",0,201
"230","HU2852",0,116
"231","HU2853",0,836
"232","HU2854",0,630
"233","HU2855",0,521
"234","HU2857",0,234
"235","HU2876",0,510
"236","HU2878",0,2526
"237","HU2879",0,269
"238","HU2941",0,90
"239","HU2942",0,1131
"240","HU2943",0,1149
"241","HU2944",0,920
"242","HU2945",0,669
"243","HU2946",0,691
"244","HU2947",0,590
"245","HU2948",0,1352
"246","HU2950",0,2468
"247","HU2951",0,234
"248","HU2952",0,257
"249","HU2953",0,567
"250","HU2976",0,441
"251","HU2978",0,255
"252","HU2979",0,424
"253","HU3043",0,1053
"254","HU3044",0,2762
"255","HU3045",0,550
"256","HU3046",0,55
"257","HU3048",0,635
"258","HU3049",0,912
"259","HU3050",0,611
"260","HU3052",0,345
"261","HU3053",0,281
"262","HU3056",0,552
"263","HU3057",0,131
"264","HU3064",0,918
"265","HU3065",0,1142
"266","HU3066",0,505
"267","HU3067",0,124
"268","HU3071",0,104
"269","HU3072",0,1347
"270","HU3075",0,943
"271","HU3076",0,53
"272","HU3077",0,233
"273","HU3078",0,1765
"274","HU3079",0,1215
"275","HU3085",0,318
"276","HU3144",0,234
"277","HU3145",0,2026
"278","HU3146",0,467
"279","HU3149",0,67
"280","HU3150",0,49
"281","HU3151",0,2164
"282","HU3152",0,1558
"283","HU3153",0,707
"284","HU3156",0,0
"285","HU3157",0,967
"286","HU3158",0,121
"287","HU3164",0,342
"288","HU3165",0,281
"289","HU3166",0,330
"290","HU3167",0,160
"291","HU3171",0,732
"292","HU3172",0,117
"293","HU3173",0,70
"294","HU3174",0,313
"295","HU3175",0,0
"296","HU3176",0,1461
"297","HU3177",0,1751
"298","HU3178",0,29
"299","HU3179",0,209
"300","HU3181",0,1116
"301","HU3182",0,717
"302","HU3185",0,749
"303","HU3186",0,720
"304","HU3187",0,557
"305","HU3244",0,855
"306","HU3246",0,800
"307","HU3247",0,352
"308","HU3249",0,23
"309","HU3250",0,1852
"310","HU3251",0,239
"311","HU3252",0,638
"312","HU3253",0,2725
"313","HU3254",0,1124
"314","HU3255",0,756
"315","HU3256",0,623
"316","HU3257",0,8
"317","HU3258",0,0
"318","HU3262",0,539
"319","HU3263",0,748
"320","HU3264",0,2
"321","HU3265",0,3
"322","HU3266",0,1734
"323","HU3272",0,0
"324","HU3273",0,694
"325","HU3274",0,1429
"326","HU3276",0,991
"327","HU3277",0,242
"328","HU3278",0,399
"329","HU3281",0,68
"330","HU3282",0,383
"331","HU3286",0,420
"332","HU3287",0,105
"333","HU3348",0,1898
"334","HU3349",0,59
"335","HU3351",0,113
"336","HU3352",0,2169
"337","HU3353",0,497
"338","HU3355",0,1957
"339","HU3356",0,381
"340","HU3357",0,117
"341","HU3358",0,604
"342","HU3363",0,1243
"343","HU3364",0,653
"344","HU3365",0,1392
"345","HU3366",0,162
"346","HU3370",0,651
"347","HU3371",0,1118
"348","HU3372",0,667
"349","HU3373",0,475
"350","HU3374",0,620
"351","HU3375",0,529
"352","HU3376",0,123
"353","HU3378",0,0
"354","HU3379",0,120
"355","HU3380",0,1402
"356","HU3381",0,1171
"357","HU3382",0,718
"358","HU3384",0,1127
"359","HU3385",0,185
"360","HU3386",0,36
"361","HU3447",0,601
"362","HU3448",0,223
"363","HU3451",0,408
"364","HU3452",0,131
"365","HU3453",0,2147
"366","HU3454",0,1237
