tile_name, IGNEOUS,METAMORPHIC, MINERAL,SEDIMENTARY
HP4700,0.05,4.92,0,0
HP4701,0.07,5.88,0,0
HP4702,0.04,6.78,0,0
HP4703,0,4.84,0,0
HP4704,0.03,1.96,0,0
HP4705,0.04,1.94,0,0
HP4800,0,50,0,0
HP4801,0,100,0,0
HP4802,0,50,0,0
HP4803,0,50,0,0
HP4804,0,21.82,0,0
HP4805,0.03,5.89,0,0
HP4806,0.08,1.2,0,0
HP4900,0,20,0,0
HP4901,0,100,0,0
HP4902,0,16.67,0,0
HP4903,0,50,0,0
HP4904,0,33.33,0,0
HP4905,0.05,4.12,0,0
HP5000,0,33.33,0,0
HP5001,0.12,24.88,0,0
HP5002,0,10,0,0
HP5003,0.05,16.29,0,0
HP5004,0.05,8.18,0,0
HP5005,0.05,2.94,0,0
HP5006,0,0.36,0,0
HP5100,0.01,33.32,0,0
HP5101,0.09,19.91,0,0
HP5102,5.05,7.45,0,0
HP5103,19.85,13.48,0,0
HP5104,7.05,7.23,0,0
HP5105,0.51,5.16,0,0
HP5200,0,50,0,0
HP5201,0,50,0,0
HP5202,1.83,10.67,0,0
HP5203,9.59,10.41,0,0
HP5204,3.17,3.98,0,0
HP5205,0.73,0.87,0,0
HP5206,0.35,0.32,0,0
HP5300,0,20,0,0
HP5301,0,20,0,0
HP5302,0,5.88,0,0
HP5303,0,11.11,0,0
HP5304,0.01,7.7,0,0
HP5305,0.03,2.03,0,0
HP5400,0.03,6.22,0,0
HP5401,0.01,5.58,0,0
HP5402,0.11,5.3,0,0
HP5403,0.05,4.89,0,0
HP5404,0.11,3.93,0,0
HP5405,0,0.42,0,0
HP5500,0.06,1.93,0,0
HP5501,0.09,2.11,0,0
HP5502,0.13,3.45,0,0
HP5503,0,1.99,0,0
HP5504,0.05,3.89,0,0
HP5505,0.08,0.53,0,0
HP5600,0.1,6.2,0,0
HP5601,0.04,6.66,0,0
HP5602,0,7.85,0,0
HP5603,0,17.31,0,0
HP5604,0.08,4.02,0,0
HP5605,0.07,1.28,0,0
HP5606,0.06,2.06,0,0
HP5607,0.08,1.39,0,0
HP5611,0,1.04,0,0
HP5612,0,0.09,0,0
HP5700,0.14,8.19,0,0
HP5701,0.06,4.7,0,0
HP5702,0,6.67,0,0
HP5703,0,10,0,0
HP5704,0,7.79,0,0
HP5705,0.11,10.3,0,0
HP5706,0.02,11.09,0,0
HP5707,0.05,3.31,0,0
HP5708,0,3.07,0,0
HP5709,0,1.09,0,0
HP5710,0,0.87,0,0
HP5711,0,0.47,0,0
HP5712,0,4.18,0,0
HP5713,0,2.37,0,0
HP5714,0,0.69,0,0
HP5715,0,0,0,0
HP5800,0,5.95,0,0
HP5801,0,11.11,0,0
HP5802,0,5.26,0,0
HP5803,0,7.14,0,0
HP5804,0,10,0,0
HP5805,0,25,0,0
HP5806,0,10,0,0
HP5807,0,12.5,0,0
