tile_name,Anthropogentic,Geological,Hydrological,Landforms,Organic,Petrological,Weathering
HP4700,0,0,10.5,0,0,0,0
HP4701,0,0,4,0,2,0,0
HP4702,0,0,2.333333333,0,5.166666667,0,0
HP4703,0,0,6.333333333,0,0.666666667,0,0
HP4704,0,0,5,0,0,0,0
HP4705,0,0,1.5,0,0,0,0
HP4800,0,0,1.5,0,19.25,0,0
HP4801,0,0,7.25,0,16,0,0
HP4802,0,0,0.25,0,23.5,0,0
HP4803,0,0,0.666666667,0,32.66666667,0,0
HP4804,0,0,7.75,0,16.25,0,0
HP4805,0,0,1.666666667,0,4.333333333,0,0
HP4806,0,0,1,0,0,0,0
HP4900,0,0,0,0,49,0,0
HP4901,0,0,0.333333333,0,32,0,0
HP4902,0,0,0,0,32.66666667,0,0
HP4903,0,0,0,0,48.5,0,0
HP4904,0,0,2,0,23,0,0
HP4905,0,0,1.8,0,6,0,0
HP5000,0,0,0.75,0,23.75,0,0
HP5001,0,0,0.666666667,0,32,0,0
HP5002,0,0,0.285306705,0,11.69757489,0,0
HP5003,0,0,4.279600571,0,7.417974322,0,0
HP5004,0,0,9.272467903,0,0.855920114,0,0
HP5005,0,0,8.666666667,0,0.333333333,0,0
HP5100,0,0,0,0,100,0,0
HP5101,0,0,2.333333333,0,29,0,0
HP5102,0,0,1.426533524,0,12.55349501,0,0
HP5103,0,0,4.833333333,0,10.66666667,0,0
HP5104,0,0,23.25,0,0.25,0,0
HP5105,0,0,15.5,0,0,0,0
HP5200,0,0,0,0,100,0,0
HP5201,0,0,1,0,19,0,0
HP5202,0,0,1.767870869,0,4.534973098,0,0
HP5203,0,0,19,0,8.666666667,0,0
HP5204,0,0,12.4,0,0,0,2
HP5205,0,0,1.8,0,0,0,2.6
HP5206,0,0,0,0,0,0,0
HP5300,0,0,0,0,100,0,0
HP5301,0,0,0,0,48,0,0
HP5302,0,0,17,0,5.75,0,0
HP5303,0,0,29.66666667,0,0,0,0
HP5304,0,0,7.214206437,0,0,0,2.108768036
HP5305,0,0,2.75,0,0,0,1
HP5400,0,0,7.4,0,7,0,0
HP5401,0,0,5.991440799,0,3.708987161,0,0
HP5402,0,0,5.57868443,0,0,0,0
HP5403,0,0,6,0,0,0,0
HP5404,0,0,5.5,0,0,0,0
HP5405,0,0,0,0,0,0,0
HP5500,0,0,2.6,0,0,0,0
HP5501,0,0,1.666666667,0,0,0,0
HP5502,0,0,1.666666667,0,1.666666667,0,0
HP5503,0,0,2.5,0,0,0,0
HP5504,0,0,4.666666667,0,0,0,0
HP5600,0,0,9.333333333,0,0,0,0
HP5601,0,0,11.84022825,0,0,0,0
HP5602,0,0,7.703281027,0,0,0,0
HP5603,0,0,14.16666667,0,0,0,0
HP5604,0,0,5,0,0,0,0
HP5605,0,0,2.5,0,0,0,0
HP5606,0,0,2.746566792,0,0,0,0
HP5607,0,0,1,0,0,0,0
HP5700,0,0,11,0,0,0,0
HP5701,0,0,12.66666667,0,0,0,0
HP5702,0,0,12.2681883,0,0,0,0
HP5703,0,0,13.12410842,0,0,0,0.285306705
HP5704,0,0,10.83333333,0,0,0,0
HP5705,0,0,25,0,0,0,0
HP5706,0,0,32.66666667,0,0,0,0
HP5707,0,0,7.833333333,0,0,0,0
HP5708,0,0,3.6,0,0.4,0,0
HP5709,0,0,1.75,0,0.5,0,0
HP5710,0,0,0.5,0,0,0,0
HP5711,0,0,0,0,1.333333333,0,0
HP5712,0,0,0.333333333,0,18.33333333,0,0
HP5713,0,0,0.25,0,7,0,0
HP5714,0,0,0,0,0,0,0
HP5800,0,0,13.33333333,0,0,0,0
HP5801,0,0,37.5,0,0,0,0
HP5802,0,0,12.5,0,0,0,0
HP5803,0,0,13.83333333,0,0.666666667,0,0
HP5804,0,0,28,0,0,0,0
HP5805,0,0,17.33333333,0,5.333333333,0,0
HP5806,0,0,6,0,8.25,0,0
HP5807,0,0,10.33333333,0,13.33333333,0,0
HP5808,0,0,19,0,10,0,0
HP5809,0,0,10.33333333,0,21,0,0
HP5810,0,0,6.333333333,0,17.33333333,0,0
HP5811,0,0,3.333333333,0,21,0,0
HP5812,0,0,3.333333333,0,27,0,0
HP5813,0,0,0,0,40,0,0
HP5814,0,0.25,0,0,13.25,0,0
HP5815,0,0,0,0,4,0,0
HP5900,0,0,1.166666667,0,0,0,0
HP5901,0,0,8.114856429,0,0,0,0
HP5902,0,0,9.238451935,0,0.624219725,0,0
HP5903,0,0,20,0,1,0,0
HP5904,0,0,12.25,0,0,0,0
HP5905,0,0,5.094905095,0,0.599400599,0,0
HP5906,0,0,10.36204744,0,1.872659176,0,0
HP5907,0,0,19.5,0,5.5,0,0
HP5908,0,0,9.655937847,0,1.220865705,0,0
HP5909,0,0,12.57142857,0,0.857142857,0,0
HP5910,0,0,12.5,0,1.333333333,0,0
HP5911,0,0,10.25,0,10.25,0,0
HP5912,0,0,8.25,0,14.75,0,0
HP5913,0,0,2.75,0,22,0,0
HP5914,0,0,2.666666667,0,30.66666667,0,0
HP5915,0,0,0,0,31.5,0,0
HP5916,0,0,0,0,9,0,0
HP6000,0,0,12.4,0,0,0,0
HP6001,0,0,24.25,0,0,0,0
HP6002,0,0,14.66666667,0,0,0,0
HP6003,0,0,14.8,0,0,0,0
HP6004,0,0,5.4,0,0,0,0
HP6005,0,0,8.8639201,0,0,0,0
HP6006,0,0,18.33333333,0,0,0,0
HP6007,0,0,18,0,0,0,0
HP6008,0,0,11.48564295,0,0.124843945,0,0
HP6009,0,0,15.83333333,0,0,0,0
HP6010,0,0,6,0,0,0,0
HP6011,0,0,7,0,0.5,0,0
HP6012,0,0,15.8,0,0,0,0
HP6013,0,0,8.571428571,0,0.714285714,0,1.428571429
HP6014,0,0,18,0,6,0,0.5
HP6015,0,0,10,0,23,0,0
HP6016,0,0,0,0,46,0,0
HP6017,0,0,0,0,44.5,0,0
HP6018,0,0,0.333333333,0,8,0,0
HP6100,0,0,11.61048689,0,0,0,0
HP6101,0,0,31.66666667,0,0,0,0
HP6102,0,0,3.620474407,0,0,0,1.373283396
HP6103,0,0,11,0,0,0,0
HP6104,0,0,14.25,0,0,0,0
HP6105,0,0,15.75,0,0,0,0
HP6106,0,0,38.5,0,0,0,0
HP6107,0,0,34,0,0,0,0
HP6108,0,0,46.5,0,0,0,0
HP6109,0,0,19.66666667,0,0.333333333,0,0
HP6110,0,0,30.5,0,0,0,0
HP6111,0,0,24.66666667,0,0,0,0
HP6112,0,0,10,0,0.428571429,0,0
HP6113,0,0,14.5,0,0,0,2
HP6114,0,0,5.333333333,0,0,0,1
HP6115,0,0,5.666666667,0,7.666666667,0,0
HP6116,0,0,0,0,27,0,0
HP6117,0,0,0,0,28,0,0
HP6118,0,0,0,0,7,0,0
HP6200,0,0,16.16666667,0,0,0,0
HP6201,0,0,19.2,0,0,0,0
HP6202,0,0,1.75,0,0,0,0
HP6203,0,0,0.5,0,0,0,0
HP6204,0,0,8,0,0,0,0
HP6205,0,0,11.4,0,0,0,0
HP6206,0,0,17.75,0,0,0,0
HP6207,0,0,31,0,0,0,0
HP6208,0,0,9,0,0,0,0
HP6209,0,0,26.66666667,0,0,0,0
HP6210,0,0,8,0,0,0,0
HP6211,0,0,26.5,0,0,0,0
HP6212,0,0,13.85714286,0,0,0,0
HP6213,0,0,19.6,0,0,0,0
HP6214,0,0,48.5,0,0,0,0
HP6215,0,0,5.333333333,0,15.33333333,0,0
