"","tile_name","mean_seasonality_1981_2010","mean_seasonality_1981_2010_degrees","mean_seasonality_1981_2010_2pd"
"1","HP4700",2403.25,2.40325,2.4
"2","HP4701",2400.5,2.4005,2.4
"3","HP4702",2391.75,2.39175,2.39
"4","HP4703",2393.5,2.3935,2.39
"5","HP4704",2381.25,2.38125,2.38
"6","HP4705",2379,2.379,2.38
"7","HP4800",2417.16666666667,2.41716666666667,2.42
"8","HP4801",2423.16666666667,2.42316666666667,2.42
"9","HP4802",2424.5,2.4245,2.42
"10","HP4803",2407,2.407,2.41
"11","HP4804",2386.57142857143,2.38657142857143,2.39
"12","HP4805",2379,2.379,2.38
"13","HP4806",2379,2.379,2.38
"14","HP4900",2415.66666666667,2.41566666666667,2.42
"15","HP4901",2423,2.423,2.42
"16","HP4902",2424.5,2.4245,2.42
"17","HP4903",2412.83333333333,2.41283333333333,2.41
"18","HP4904",2389.66666666667,2.38966666666667,2.39
"19","HP4905",2379,2.379,2.38
"20","HP5000",2405.33333333333,2.40533333333333,2.41
"21","HP5001",2413,2.413,2.41
"22","HP5002",2417.5,2.4175,2.42
"23","HP5003",2411.6,2.4116,2.41
"24","HP5004",2394.66666666667,2.39466666666667,2.39
"25","HP5005",2379,2.379,2.38
"26","HP5006",2379,2.379,2.38
"27","HP5100",2419.25,2.41925,2.42
"28","HP5101",2428.42857142857,2.42842857142857,2.43
"29","HP5102",2437.66666666667,2.43766666666667,2.44
"30","HP5103",2422.83333333333,2.42283333333333,2.42
"31","HP5104",2397.57142857143,2.39757142857143,2.4
"32","HP5105",2392.66666666667,2.39266666666667,2.39
"33","HP5200",2439.16666666667,2.43916666666667,2.44
"34","HP5201",2438.83333333333,2.43883333333333,2.44
"35","HP5202",2433,2.433,2.43
"36","HP5203",2418.16666666667,2.41816666666667,2.42
"37","HP5204",2392.66666666667,2.39266666666667,2.39
"38","HP5205",2380,2.38,2.38
"39","HP5206",2379,2.379,2.38
"40","HP5300",2431.4,2.4314,2.43
"41","HP5301",2417.66666666667,2.41766666666667,2.42
"42","HP5302",2407,2.407,2.41
"43","HP5303",2403.16666666667,2.40316666666667,2.4
"44","HP5304",2393.6,2.3936,2.39
"45","HP5305",2380,2.38,2.38
"46","HP5400",2403.5,2.4035,2.4
"47","HP5401",2399,2.399,2.4
"48","HP5402",2387.5,2.3875,2.39
"49","HP5403",2385.75,2.38575,2.39
"50","HP5404",2382.25,2.38225,2.38
"51","HP5405",2377,2.377,2.38
"52","HP5500",2384,2.384,2.38
"53","HP5501",2389,2.389,2.39
"54","HP5502",2384,2.384,2.38
"55","HP5503",2419,2.419,2.42
"56","HP5504",2395.66666666667,2.39566666666667,2.4
"57","HP5505",2389,2.389,2.39
"58","HP5600",2403.85714285714,2.40385714285714,2.4
"59","HP5601",2406.71428571429,2.40671428571429,2.41
"60","HP5602",2406.6,2.4066,2.41
"61","HP5603",2395.83333333333,2.39583333333333,2.4
"62","HP5604",2400.5,2.4005,2.4
"63","HP5605",2395.33333333333,2.39533333333333,2.4
"64","HP5606",2391,2.391,2.39
"65","HP5607",2391.5,2.3915,2.39
"66","HP5611",2384.5,2.3845,2.38
"67","HP5612",2382.5,2.3825,2.38
"68","HP5700",2423.71428571429,2.42371428571429,2.42
"69","HP5701",2414.75,2.41475,2.41
"70","HP5702",2409.25,2.40925,2.41
"71","HP5703",2415.4,2.4154,2.42
"72","HP5704",2429.66666666667,2.42966666666667,2.43
"73","HP5705",2440.4,2.4404,2.44
