"","tile_name","mean_seasonality_1981_2010","mean_seasonality_1981_2010_degrees","mean_seasonality_1981_2010_2pd"
"1","HP4700",330,33,33
"2","HP4701",329.5,32.95,32.95
"3","HP4702",329,32.9,32.9
"4","HP4703",328.5,32.85,32.85
"5","HP4704",328,32.8,32.8
"6","HP4705",328,32.8,32.8
"7","HP4800",330,33,33
"8","HP4801",329.5,32.95,32.95
"9","HP4802",329,32.9,32.9
"10","HP4803",328.5,32.85,32.85
"11","HP4804",328,32.8,32.8
"12","HP4805",328,32.8,32.8
"13","HP4806",328,32.8,32.8
"14","HP4900",330,33,33
"15","HP4901",329.5,32.95,32.95
"16","HP4902",328.5,32.85,32.85
"17","HP4903",328.5,32.85,32.85
"18","HP4904",327.5,32.75,32.75
"19","HP4905",327.5,32.75,32.75
"20","HP5000",329.5,32.95,32.95
"21","HP5001",329,32.9,32.9
"22","HP5002",328.5,32.85,32.85
"23","HP5003",327.5,32.75,32.75
"24","HP5004",327.5,32.75,32.75
"25","HP5005",327,32.7,32.7
"26","HP5006",327,32.7,32.7
"27","HP5100",328.5,32.85,32.85
"28","HP5101",328,32.8,32.8
"29","HP5102",327,32.7,32.7
"30","HP5103",327,32.7,32.7
"31","HP5104",326,32.6,32.6
"32","HP5105",326,32.6,32.6
"33","HP5200",327.5,32.75,32.75
"34","HP5201",327,32.7,32.7
"35","HP5202",326,32.6,32.6
"36","HP5203",325.5,32.55,32.55
"37","HP5204",325.5,32.55,32.55
"38","HP5205",325.5,32.55,32.55
"39","HP5206",326,32.6,32.6
"40","HP5300",326.5,32.65,32.65
"41","HP5301",326,32.6,32.6
"42","HP5302",325.5,32.55,32.55
"43","HP5303",324.5,32.45,32.45
"44","HP5304",324.5,32.45,32.45
"45","HP5305",324.5,32.45,32.45
"46","HP5400",325.5,32.55,32.55
"47","HP5401",325.5,32.55,32.55
"48","HP5402",324.5,32.45,32.45
"49","HP5403",324.333333333333,32.4333333333333,32.43
"50","HP5404",324.333333333333,32.4333333333333,32.43
"51","HP5405",324.5,32.45,32.45
"52","HP5500",326,32.6,32.6
"53","HP5501",325.5,32.55,32.55
"54","HP5502",325,32.5,32.5
"55","HP5503",326,32.6,32.6
