"","tile_name","HF"
"1","HP4704",1
"2","HP4800",2
"3","HP4801",1
"4","HP4803",1
"5","HP4804",2
"6","HP4901",1
"7","HP4903",1
"8","HP5003",1
"9","HP5004",2
"10","HP5005",1
"11","HP5101",1
"12","HP5105",1
"13","HP5200",1
"14","HP5204",9
"15","HP5205",1
"16","HP5303",5
"17","HP5304",5
"18","HP5402",5
"19","HP5403",2
"20","HP5404",3
"21","HP5601",4
"22","HP5703",4
"23","HP5704",1
"24","HP5707",1
"25","HP5800",1
"26","HP5801",4
"27","HP5802",1
"28","HP5803",3
"29","HP5806",1
"30","HP5810",3
"31","HP5811",1
"32","HP5900",1
"33","HP5901",4
"34","HP5902",3
"35","HP5905",2
"36","HP5908",1
"37","HP5909",2
"38","HP5910",8
"39","HP5911",2
"40","HP5912",2
"41","HP5913",1
"42","HP5914",3
"43","HP6001",5
"44","HP6002",2
"45","HP6003",1
"46","HP6005",5
"47","HP6008",6
"48","HP6009",2
"49","HP6010",7
"50","HP6012",1
"51","HP6013",3
"52","HP6014",1
"53","HP6100",2
"54","HP6101",1
"55","HP6102",1
"56","HP6104",1
"57","HP6107",3
"58","HP6108",1
"59","HP6109",2
"60","HP6112",4
"61","HP6114",1
"62","HP6200",2
"63","HP6204",1
"64","HP6207",2
"65","HP6208",5
"66","HP6209",3
"67","HP6211",3
"68","HP6212",3
"69","HP6213",1
"70","HP6307",5
"71","HP6308",1
"72","HP6309",2
"73","HP6311",3
"74","HP6312",4
"75","HP6314",1
"76","HP6412",4
"77","HP6413",1
"78","HP6414",6
"79","HP6416",1
"80","HP6513",2
"81","HP6514",3
"82","HP6616",1
"83","HT9540",1
"84","HT9638",2
"85","HT9639",2
"86","HT9738",1
"87","HU1750",6
"88","HU1751",6
"89","HU1752",1
"90","HU1756",5
"91","HU1757",1
"92","HU1850",2
"93","HU1852",13
"94","HU1856",2
"95","HU1857",11
"96","HU1949",4
"97","HU1950",9
"98","HU1951",1
"99","HU1952",6
"100","HU1954",2
"101","HU1956",10
"102","HU1957",14
"103","HU2049",14
"104","HU2050",17
"105","HU2053",1
"106","HU2056",5
"107","HU2057",13
"108","HU2147",4
"109","HU2148",3
"110","HU2149",2
"111","HU2150",7
"112","HU2151",1
"113","HU2154",1
"114","HU2155",1
"115","HU2156",1
"116","HU2157",13
"117","HU2158",1
"118","HU2177",6
"119","HU2179",13
"120","HU2180",1
"121","HU2246",2
