tile_name,MEAN_asp
SR9592,153.7046976
SR9692,167.8306343
SR9792,98.61050654
SS1800,206.7529122
SS1900,146.3762991
SS1901,260.1238571
SS1902,245.9945628
SS1903,238.584712
SS1912,269.8698896
SS1913,314.2747803
SS1914,255.3003713
SS1915,283.9387003
SS2000,189.9543552
SS2001,207.2164689
SS2002,197.1597816
SS2003,140.3577415
SS2004,94.01195662
SS2005,100.7401906
SS2006,138.9769613
SS2007,163.5829086
SS2008,188.3235256
SS2009,220.9958961
SS2010,236.6668014
SS2011,197.0196122
SS2012,190.0201702
SS2013,228.8727458
SS2014,232.0398007
SS2015,226.4381988
SS2016,181.4046146
SS2017,261.6346088
SS2018,64.99999883
SS2100,164.8223231
SS2101,170.6803295
SS2102,195.9271601
SS2103,148.4122433
SS2104,192.153403
SS2105,245.3180845
SS2106,240.7634642
SS2107,248.42767
SS2108,243.2315661
SS2109,238.0755114
SS2110,248.796917
SS2111,209.2896212
SS2112,205.0120356
SS2113,199.2886302
SS2114,212.0979818
SS2115,226.9129501
SS2116,204.8158584
SS2117,208.9425456
SS2118,216.2351519
SS2119,173.7832797
SS2120,225.0106199
SS2121,280.1192457
SS2200,142.2189045
SS2201,160.4072403
SS2202,159.7745621
SS2203,223.2603863
SS2204,210.1755072
SS2205,182.0604506
SS2206,220.9495055
SS2207,233.0734523
SS2208,222.2048111
SS2209,206.0543785
SS2210,153.3008987
SS2211,183.5035456
SS2212,202.3126321
SS2213,185.1708714
SS2214,210.7442829
SS2215,234.0743734
SS2216,168.1310439
SS2217,216.6372162
SS2218,252.0376511
SS2219,192.849158
SS2220,209.9284777
SS2221,207.0557379
SS2222,187.332862
SS2223,210.1400613
SS2224,204.7113418
SS2225,156.1950768
SS2226,253.3136232
SS2227,234.9744123
SS2300,184.1626567
SS2301,217.3488295
SS2302,214.6825981
SS2303,206.4442426
SS2304,204.2243143
SS2305,225.5775032
SS2306,214.0213394
SS2307,220.5465954
SS2308,185.7381489
SS2309,220.648867
SS2310,185.9334827
SS2311,181.7046982
SS2312,191.9463607
SS2313,218.1166422
SS2314,192.6596567
SS2315,153.4895954
SS2316,195.0008291
SS2317,213.750467
SS2318,262.5405471
SS2319,215.2090846
SS2320,215.4090347
SS2321,179.5481183
SS2322,134.7540786
SS2323,199.511088
SS2324,198.3068906
SS2325,207.7322967
SS2326,234.1640798
SS2327,195.5550804
SS2400,184.5271596
SS2401,209.8378369
SS2402,228.2288503
SS2403,230.0729024
SS2404,191.3089856
SS2405,205.4792422
SS2406,246.5817658
SS2407,228.1184671
SS2408,208.6064994
SS2409,165.4590445
SS2410,198.5503179
SS2411,241.9388848
SS2412,234.5457698
SS2413,222.1366172
SS2414,198.592864
SS2415,210.4405722
SS2416,239.7515556
SS2417,246.3692076
SS2418,191.9256715
SS2419,221.6537915
SS2420,197.3661238
SS2421,168.4770435
SS2422,222.4300403
SS2423,169.1261389
SS2424,184.1257287
SS2425,242.3197434
SS2426,196.267906
SS2427,200.7463896
SS2500,240.2260245
SS2501,204.0460644
SS2502,240.9456252
SS2503,234.0437715
SS2504,227.4864355
SS2505,194.3938121
SS2506,210.8922247
SS2507,165.2313045
SS2508,206.3212482
SS2509,223.1520004
SS2510,200.4766799
SS2511,180.1257416
SS2512,247.8590453
SS2513,190.7117099
SS2514,190.4706214
SS2515,221.4659919
SS2516,181.3913882
SS2517,203.877144
SS2518,229.8834539
SS2519,215.8923468
SS2520,219.5645348
SS2521,215.8092358
SS2522,181.6087642
SS2523,211.3018704
SS2524,229.4062154
SS2525,159.8666067
SS2526,184.0951097
SS2527,218.0564907
SS2600,191.9354201
SS2601,211.7609993
SS2602,170.7141108
SS2603,192.0300592
SS2604,148.5820648
SS2605,195.8698823
SS2606,161.0531735
SS2607,114.8188948
SS2608,133.6751872
SS2609,144.360035
SS2610,142.5680226
SS2611,137.0021819
SS2612,120.6813863
SS2613,136.5152568
SS2614,181.8919715
SS2615,131.1698592
SS2616,152.1979956
SS2617,153.4015007
SS2618,142.2390008
SS2619,212.5736727
SS2620,112.4186814
SS2621,234.5659149
SS2622,247.5431566
SS2623,215.2679574
SS2624,203.0947223
SS2625,210.8568692
SS2626,234.6491563
SS2627,178.575142
SS2700,124.8584613
SS2701,192.9427309
SS2702,202.6463917
SS2703,179.6322361
SS2704,127.1457454
SS2705,120.0776037
SS2706,105.0177658
SS2707,94.78030994
SS2708,157.9242594
SS2709,143.1361836
SS2710,164.6945864
SS2711,191.8212254
SS2712,133.3037751
SS2713,153.8389764
SS2714,112.0087404
SS2715,200.909898
SS2716,164.536622
SS2717,124.5310044
SS2718,108.3962699
SS2719,120.9638965
SS2720,123.3782182
SS2721,176.3653088
SS2722,214.7796281
SS2723,211.2320756
SS2724,226.1362821
SS2725,218.7024229
SS2726,194.3905784
SS2727,75.01960594
SS2800,210.9956756
SS2801,159.6534657
SS2802,195.5716726
SS2803,202.7646132
SS2804,212.8942136
SS2805,208.6843461
SS2806,226.730634
SS2807,207.8307722
SS2808,194.0261099
SS2809,200.3555589
SS2810,198.5557397
SS2811,142.4118395
SS2812,151.0051207
SS2813,231.8419424
SS2814,242.2551825
SS2815,173.268277
SS2816,146.5736785
SS2817,207.934243
SS2818,149.0946166
SS2819,171.0972108
SS2820,146.2812891
SS2821,165.2384258
SS2822,203.4842421
SS2823,156.6475654
SS2824,215.7091936
SS2825,105.2623023
SS2826,136.3117504
SS2900,125.1716695
SS2901,130.7888793
SS2902,135.9019942
SS2903,142.6309761
SS2904,207.1372816
SS2905,186.1723594
SS2906,184.2576186
SS2907,217.7770044
SS2908,224.6309963
SS2909,154.0438752
SS2910,143.3316516
SS2911,174.099599
SS2912,203.4142698
SS2913,180.5636551
SS2914,159.3900947
SS2915,131.9035391
SS2916,227.9876077
SS2917,152.4524501
SS2918,132.8809387
SS2919,116.2470089
SS2920,153.355813
SS2921,148.4560229
SS2922,192.9893914
SS2923,163.5853108
SS2924,149.7268846
SS2925,168.6690278
SS2926,138.1866334
SS3000,230.9545432
SS3001,223.3429011
SS3002,219.572787
SS3003,231.5621193
SS3004,216.9593733
SS3005,240.4562752
SS3006,203.5733976
SS3007,176.0723648
SS3008,161.5877445
SS3009,264.0859996
SS3010,209.0651857
SS3011,212.1592194
SS3012,216.951277
SS3013,184.8577381
SS3014,124.6044002
SS3015,158.9332439
SS3016,142.3824556
SS3017,118.2649074
SS3018,151.387989
SS3019,232.7974837
SS3020,225.7382253
SS3021,159.3230456
SS3022,116.6316756
SS3023,243.4449266
SS3024,218.6519078
SS3025,150.6586802
SS3026,100.4368009
SS3100,155.5628748
SS3101,224.565984
SS3102,178.6243845
SS3103,238.7220918
SS3104,213.2021778
SS3105,164.1953253
SS3106,195.099707
SS3107,232.0669104
SS3108,189.8325467
SS3109,243.7892033
SS3110,238.705001
SS3111,193.8542996
SS3112,142.6429554
SS3113,123.7683424
SS3114,132.32177
SS3115,168.8315611
SS3116,138.565656
SS3117,127.061642
SS3118,177.6946436
SS3119,176.7685181
SS3120,143.4199197
SS3121,186.4733685
SS3122,200.6483529
SS3123,178.0410866
SS3124,146.7200896
SS3125,92.12690104
SS3200,153.4186258
SS3201,153.4829433
SS3202,124.8184495
SS3203,153.0586
SS3204,92.55393576
SS3205,104.1625872
SS3206,155.4249133
SS3207,159.1154833
SS3208,178.1154132
SS3209,197.2147088
SS3210,162.7867743
SS3211,124.7920511
SS3212,114.2761937
SS3213,147.9964185
SS3214,176.9381773
SS3215,183.340515
SS3216,144.4272962
SS3217,131.2372237
SS3218,160.7164033
SS3219,151.8426169
SS3220,130.4372385
SS3221,167.7627726
SS3222,150.773332
SS3223,114.1576991
SS3224,128.3876831
SS3300,256.9907528
SS3301,149.9836574
SS3302,156.4535406
SS3303,156.2879318
SS3304,174.6429836
SS3305,184.1602358
SS3306,151.8165213
SS3307,187.4985793
SS3308,194.4322546
SS3309,187.17898
SS3310,157.4104212
SS3311,121.4318163
SS3312,189.8632931
SS3313,214.7638098
SS3314,216.4803298
SS3315,177.9172567
SS3316,156.8188062
SS3317,155.259088
SS3318,175.078059
SS3319,179.9788678
SS3320,130.9676605
SS3321,115.8580674
SS3322,142.4342152
SS3323,155.3490784
SS3324,35.31185915
SS3400,162.9784541
SS3401,247.0826033
SS3402,218.5351169
SS3403,253.4303526
SS3404,229.3352861
SS3405,225.8717162
SS3406,193.9756842
SS3407,225.9704253
SS3408,198.7114275
SS3409,105.1905807
SS3410,166.5203814
SS3411,162.4432285
SS3412,150.2306384
SS3413,188.7916248
SS3414,176.6613353
SS3415,134.6904016
SS3416,181.2379568
SS3417,133.2383052
SS3418,101.3136161
SS3419,147.9292127
SS3420,201.7146503
SS3421,210.6233319
SS3422,178.9296301
SS3423,108.2069151
SS3500,218.4327203
SS3501,204.9328741
SS3502,230.1070195
SS3503,241.8873289
SS3504,246.0593944
SS3505,183.6196648
SS3506,190.9746143
SS3507,199.0419848
SS3508,196.6556369
SS3509,128.5115293
SS3510,127.8452311
SS3511,192.7586647
SS3512,138.9143494
SS3513,171.3173931
SS3514,149.8017217
SS3515,106.7559197
SS3516,98.57377636
SS3517,183.4141795
SS3518,216.7934513
SS3519,131.0578143
SS3520,185.4916589
SS3521,147.6877339
SS3522,128.5394949
SS3523,138.2418212
SS3600,207.3101695
SS3601,197.5145317
SS3602,184.5878395
SS3603,230.0540115
SS3604,211.8787616
SS3605,257.6233394
SS3606,148.4909296
SS3607,147.8820289
SS3608,136.6691358
SS3609,198.9170896
SS3610,154.9192754
SS3611,168.9995514
SS3612,215.3261691
SS3613,179.9136868
SS3614,109.8109852
SS3615,161.9673059
SS3616,209.8024614
SS3617,205.8989859
SS3618,168.3030992
SS3619,243.056775
SS3620,193.108874
SS3621,146.3163813
SS3622,159.2063619
SS3623,235.0415918
SS3700,195.5079603
SS3701,118.150299
SS3702,175.1328744
SS3703,219.8682363
SS3704,158.3326958
SS3705,129.2019604
SS3706,132.3310918
SS3707,161.8995919
SS3708,175.5392292
SS3709,163.57625
SS3710,156.8423811
SS3711,192.340273
SS3712,148.588284
SS3713,151.8306911
SS3714,134.4660119
SS3715,213.484086
SS3716,193.1324719
SS3717,162.3242311
SS3718,176.6784839
SS3719,213.4691002
SS3720,206.017026
SS3721,145.4209055
SS3722,95.41627099
SS3723,186.7039952
SS3724,206.4359624
SS3800,216.6209162
SS3801,249.3092491
