tile_name,MEAN_elev
SR8090,0
SR8091,0
SR8092,0
SR8190,0
SR8191,0
SR8192,0
SR8290,0
SR8291,0
SR8292,0
SR8390,0
SR8391,0
SR8392,0
SR8490,0
SR8491,0
SR8492,0
SR8590,0
SR8591,0
SR8592,0
SR8690,0
SR8691,0
SR8692,0
SR8790,0
SR8791,0
SR8792,0
SR8890,0
SR8891,0
SR8892,0
SR8990,0
SR8991,0
SR8992,0
SR9090,0
SR9091,0
SR9092,0
SR9190,0
SR9191,0
SR9192,0
SR9290,0
SR9291,0
SR9292,0
SR9390,0
SR9391,0
SR9392,0
SR9490,0
SR9491,0
SR9492,0
SR9590,0
SR9591,0
SR9592,0.510625
SR9690,0
SR9691,0
SR9692,4.145625
SR9790,0
SR9791,0
SR9792,2.946875
SR9890,0
SR9891,0
SR9892,0
SR9990,0
SR9991,0
SR9992,0
SS0090,0
SS0091,0
SS0092,0
SS0190,0
SS0191,0
SS0192,0
SS0290,0
SS0291,0
SS0292,0
SS0390,0
SS0391,0
SS0392,0
SS0490,0
SS0491,0
SS0492,0
SS0590,0
SS0591,0
SS0592,0
SS0690,0
SS0691,0
SS0692,0
SS0790,0
SS0791,0
SS0792,0
SS0890,0
SS0891,0
SS0892,0
SS0990,0
SS0991,0
SS0992,0
SS1000,0
SS1001,0
SS1002,0
SS1003,0
SS1004,0
SS1005,0
SS1006,0
SS1007,0
SS1008,0
SS1009,0
SS1010,0
SS1011,0
SS1012,0
SS1013,0
SS1014,0
SS1015,0
SS1016,0
SS1017,0
SS1018,0
SS1019,0
SS1090,0
SS1091,0
SS1092,0
SS1100,0
SS1101,0
SS1102,0
SS1103,0
SS1104,0
SS1105,0
SS1106,0
SS1107,0
SS1108,0
SS1109,0
SS1110,0
SS1111,0
SS1112,0
SS1113,0
SS1114,0
SS1115,0
SS1116,0
SS1117,0
SS1118,0
SS1119,0
SS1190,0
SS1191,0
SS1192,0
SS1200,0
SS1201,0
SS1202,0
SS1203,0
SS1204,0
SS1205,0
SS1206,0
SS1207,0
SS1208,0
SS1209,0
SS1210,0
SS1211,0
SS1212,0
