tile_name,flat_s288_r25,hollow_s288_r25,pit_s288_r25,"Peaks_ridges(spurs,shoulders,ridges,peaks)","Slopes (Footslope,slopes)",valley_s288_r25
SR9592,0,625,0,5625,1250,7500
SR9692,0,9375,0,55625,8750,3125
SR9792,0,5625,625,55625,14375,3750
SS1800,0,17500,0,176875,43125,10000
SS1900,0,61250,23125,584375,170625,73750
SS1901,0,17500,0,161250,48125,13125
SS1902,0,6875,0,2500,7500,0
SS1903,0,2500,0,49375,5625,0
SS1912,0,3125,0,100000,21875,0
SS1913,0,0,0,0,625,0
SS1914,0,28125,0,100625,41875,16250
SS1915,0,3125,0,38125,20625,3125
SS2000,0,102500,2500,536250,289375,69375
SS2001,0,153125,10625,387500,354375,94375
SS2002,0,161250,18125,256875,326250,221250
SS2003,0,18750,625,835625,126875,17500
SS2004,0,41250,0,619375,133750,52500
SS2005,0,88750,80625,355000,173750,70625
SS2006,0,120000,59375,264375,168125,81250
SS2007,0,114375,40625,204375,90000,231250
SS2008,0,142500,17500,231250,164375,105625
SS2009,0,50000,625,456875,155000,44375
SS2010,0,84375,0,426250,171875,42500
SS2011,0,46250,47500,451875,159375,84375
SS2012,0,19375,0,903750,41250,13750
SS2013,0,58125,0,670625,149375,61250
SS2014,0,30000,3125,729375,188125,49375
SS2015,0,21250,625,763125,151250,50000
SS2016,0,19375,0,375625,50000,13750
SS2017,0,625,0,40000,5625,3125
SS2018,0,0,0,0,8125,0
SS2100,0,138125,6250,402500,289375,163750
SS2101,0,103750,4375,533125,325625,33125
SS2102,0,136875,10000,387500,354375,111250
SS2103,0,95625,146875,340625,266875,150000
SS2104,0,123750,175000,226250,298125,176875
SS2105,0,157500,85000,228750,406875,121875
SS2106,0,173125,1875,305625,461250,58125
SS2107,0,327500,8125,218125,288750,157500
SS2108,0,205000,2500,318125,410625,63750
SS2109,0,69375,0,621875,222500,86250
SS2110,0,35625,0,803750,116250,44375
SS2111,0,38750,36250,521875,342500,60625
SS2112,0,61250,33125,647500,200000,58125
