"","tile_name","percent","Depth"
"1","HY2720",19.8,"Deep"
"2","HY2819",14.83,"Deep"
"3","HY3215",8.61,"Deep"
"4","HY3309",8.39,"Deep"
"5","HY3920",4.06,"Deep"
"6","HY5503",3.21,"Deep"
"7","HY6622",21.75,"Deep"
"8","NC0329",1.59,"Deep"
"9","NC1110",0.67,"Deep"
"10","NC1859",0.78,"Deep"
"11","NC1860",1.19,"Deep"
"12","NC1959",1.06,"Deep"
"13","NC1960",0.92,"Deep"
"14","NC2058",0.98,"Deep"
"15","NC2059",2.71,"Deep"
"16","NC2158",3.47,"Deep"
"17","NC2159",7.08,"Deep"
"18","NC2247",0.56,"Deep"
"19","NC2256",0.92,"Deep"
"20","NC2257",5.69,"Deep"
"21","NC2265",1.18,"Deep"
"22","NC2407",5.05,"Deep"
"23","NC2415",0.76,"Deep"
"24","NC2419",0.87,"Deep"
"25","NC2454",2.33,"Deep"
"26","NC2455",2.26,"Deep"
"27","NC2506",16.5,"Deep"
"28","NC2508",6.93,"Deep"
"29","NC2517",2.54,"Deep"
"30","NC2519",3.76,"Deep"
"31","NC2605",25,"Deep"
"32","NC2606",25,"Deep"
"33","NC2607",2.81,"Deep"
"34","NC2608",7.83,"Deep"
"35","NC2609",14.14,"Deep"
"36","NC2610",2.36,"Deep"
"37","NC2617",4.14,"Deep"
"38","NC2700",5.56,"Deep"
"39","NC2709",5.56,"Deep"
"40","NC2716",4.59,"Deep"
"41","NC2720",0.58,"Deep"
"42","NC2754",3.33,"Deep"
"43","NC2800",7.62,"Deep"
"44","NC2809",4.2,"Deep"
"45","NC2854",6.7,"Deep"
"46","NC2905",33.33,"Deep"
"47","NC2908",1.24,"Deep"
"48","NC2939",5.43,"Deep"
"49","NC2955",3.94,"Deep"
"50","NC3005",20,"Deep"
"51","NC3038",3.21,"Deep"
"52","NC3105",7.14,"Deep"
"53","NC3107",7.69,"Deep"
"54","NC3205",8.89,"Deep"
"55","NC3206",11.62,"Deep"
"56","NC3232",1.91,"Deep"
"57","NC3237",3.22,"Deep"
"58","NC3336",8.5,"Deep"
"59","NC3434",6.58,"Deep"
"60","NC3471",1.39,"Deep"
"61","NC3502",4.76,"Deep"
"62","NC3533",6.77,"Deep"
"63","NC3571",1.43,"Deep"
"64","NC3633",4.89,"Deep"
"65","NC3766",2.82,"Deep"
"66","NC3800",3.1,"Deep"
"67","NC3868",2.57,"Deep"
"68","NC3870",1.22,"Deep"
"69","NC3954",2.1,"Deep"
"70","NC3955",2.76,"Deep"
"71","NC3966",3.75,"Deep"
"72","NC3967",3.28,"Deep"
"73","NC3968",4.75,"Deep"
"74","NC3969",3.46,"Deep"
"75","NC3970",0.91,"Deep"
"76","NC4167",3.27,"Deep"
"77","NC4300",3.48,"Deep"
"78","NC4366",0.63,"Deep"
"79","NC4400",9.09,"Deep"
"80","NC4500",3.53,"Deep"
"81","NC4524",6.25,"Deep"
"82","NC5536",7.14,"Deep"
"83","NC5635",3.52,"Deep"
"84","NC5636",5.05,"Deep"
"85","NC5735",4.1,"Deep"
"86","NC5764",1.14,"Deep"
"87","NC5956",5.47,"Deep"
"88","NC6961",1.51,"Deep"
"89","NC7060",1.7,"Deep"
"90","NC8766",0.58,"Deep"
"91","NC8840",2.45,"Deep"
"92","ND4585",6.76,"Deep"
"93","ND4691",4.69,"Deep"
"94","ND4795",2.68,"Deep"
"95","ND4893",3.69,"Deep"
"96","NF7323",29.43,"Deep"
"97","NF7962",5.01,"Deep"
"98","NF8776",3.94,"Deep"
"99","NF8777",5,"Deep"
"100","NF8969",16.69,"Deep"
"101","NF9168",1.44,"Deep"
"102","NF9891",7.88,"Deep"
"103","NG2448",0.69,"Deep"
"104","NG2546",2.97,"Deep"
"105","NG2547",1.57,"Deep"
"106","NG2549",1.33,"Deep"
"107","NG2649",1.21,"Deep"
"108","NG2662",2.52,"Deep"
"109","NG2663",1.5,"Deep"
"110","NG2859",3.9,"Deep"
"111","NG3043",1.05,"Deep"
"112","NG3050",1.71,"Deep"
"113","NG3101",0.57,"Deep"
"114","NG3130",1.08,"Deep"
"115","NG3152",1.22,"Deep"
"116","NG3156",1.34,"Deep"
"117","NG3450",1.59,"Deep"
"118","NG3501",0.48,"Deep"
"119","NG3603",1.16,"Deep"
"120","NG3604",0.62,"Deep"
"121","NG3654",1.13,"Deep"
"122","NG3700",0.9,"Deep"
"123","NG3753",1,"Deep"
"124","NG3900",1.67,"Deep"
"125","NG3963",1.83,"Deep"
"126","NG4067",5.72,"Deep"
"127","NG4173",1.69,"Deep"
"128","NG4530",4.13,"Deep"
"129","NG4533",2.97,"Deep"
"130","NG4554",6.86,"Deep"
"131","NG4569",5.11,"Deep"
"132","NG4629",4.32,"Deep"
"133","NG4630",7.08,"Deep"
"134","NG4668",7.7,"Deep"
"135","NG4669",8.26,"Deep"
"136","NG4728",2.92,"Deep"
"137","NG4729",2.74,"Deep"
"138","NG4730",10.01,"Deep"
"139","NG4828",1.8,"Deep"
"140","NG4836",3.58,"Deep"
"141","NG4843",0.83,"Deep"
"142","NG4938",1.15,"Deep"
"143","NG5155",2.86,"Deep"
"144","NG5156",2.79,"Deep"
"145","NG5214",1.31,"Deep"
"146","NG5232",1.16,"Deep"
"147","NG5415",1,"Deep"
"148","NG5517",1.15,"Deep"
"149","NG5522",5.44,"Deep"
"150","NG5534",0.9,"Deep"
"151","NG5542",0.25,"Deep"
"152","NG5617",1.07,"Deep"
"153","NG5621",1.5,"Deep"
"154","NG5633",0.82,"Deep"
"155","NG5642",2.12,"Deep"
"156","NG5644",0.48,"Deep"
"157","NG5808",0.23,"Deep"
"158","NG5816",2.6,"Deep"
"159","NG5817",0.76,"Deep"
"160","NG5835",2.77,"Deep"
"161","NG5836",2,"Deep"
"162","NG5838",1.45,"Deep"
"163","NG5908",0.38,"Deep"
"164","NG5926",2.06,"Deep"
