tile_name,percent,Texture,Tex_lvl
NG5620,0.06,Heavy,3
NG5621,0.09,Heavy,3
NG5720,0.13,Heavy,3
NG5728,0.04,Heavy,3
NG5827,0.04,Heavy,3
NG5828,0.1,Heavy,3
NG5926,0.04,Heavy,3
TF0146,0.23,Heavy,3
TF0246,0.08,Heavy,3
TQ7899,2.1,Heavy,3
NG2405,0.01,Medium,2
NG3402,0.33,Medium,2
NG3403,0.05,Medium,2
NG3501,0.04,Medium,2
NG3600,0.02,Medium,2
NG3700,0.08,Medium,2
NG4525,0.04,Medium,2
NG4625,0.08,Medium,2
NG5436,0.84,Medium,2
NG5437,1.73,Medium,2
NG5438,0.25,Medium,2
NG5536,0.05,Medium,2
NG5537,0.9,Medium,2
NG5838,0.01,Medium,2
NM3299,0.02,Medium,2
NM3499,0.01,Medium,2
NM3791,0.22,Medium,2
NM3891,0.07,Medium,2
NM3899,0.04,Medium,2
NM3998,0.05,Medium,2
NM4099,0.01,Medium,2
NM4194,0.18,Medium,2
NM4268,0.24,Medium,2
NM4364,0.73,Medium,2
NM4365,0.73,Medium,2
NM4366,0.13,Medium,2
NM4670,0.54,Medium,2
NM4788,0.02,Medium,2
NM4863,0.13,Medium,2
NM4864,0.28,Medium,2
NM4865,0.18,Medium,2
NM4868,0.05,Medium,2
NM4963,0.85,Medium,2
NM4964,0.87,Medium,2
NM5063,0.32,Medium,2
NM5064,0.37,Medium,2
NM5069,0.83,Medium,2
NM5070,0.26,Medium,2
NM5163,0.56,Medium,2
NM5164,0.53,Medium,2
NM5466,0.24,Medium,2
NM5469,0.41,Medium,2
NM5470,0.31,Medium,2
NM5530,0.14,Medium,2
NM5562,0.13,Medium,2
NM5565,0.17,Medium,2
NM5570,0.52,Medium,2
NM5571,0.46,Medium,2
NM5632,0.75,Medium,2
NM6131,0.46,Medium,2
NM6132,0.84,Medium,2
NM6226,0.95,Medium,2
NM6432,0.07,Medium,2
NM6434,0.02,Medium,2
NM6439,0.19,Medium,2
NM6531,0.9,Medium,2
NM6532,0.82,Medium,2
NM6631,1.28,Medium,2
NM6776,0.09,Medium,2
NM7137,0.02,Medium,2
NM7236,0.03,Medium,2
NM7812,0.16,Medium,2
NM8204,0.05,Medium,2
NM8205,0.01,Medium,2
NM8304,0.05,Medium,2
NN1571,0.19,Medium,2
NN2127,0.43,Medium,2
NN3104,0.34,Medium,2
NO0530,0.01,Medium,2
NO1031,0.01,Medium,2
NS0121,0.05,Medium,2
NS0133,0.08,Medium,2
NS0144,0.01,Medium,2
NS0171,0.04,Medium,2
NS0172,0.07,Medium,2
NS0174,0.02,Medium,2
NS0266,0.02,Medium,2
NS0267,0.06,Medium,2
NS0270,0.01,Medium,2
NS0273,0.04,Medium,2
NS0274,0.01,Medium,2
NS0362,0.02,Medium,2
NS0363,0.03,Medium,2
NS0364,0.04,Medium,2
NS0368,0.04,Medium,2
NS0369,0.07,Medium,2
NS0371,0.03,Medium,2
NS0372,0.07,Medium,2
NS0461,0.03,Medium,2
NS0463,0.01,Medium,2
NS0464,0.03,Medium,2
NS0465,0.03,Medium,2
NS0467,0.01,Medium,2
NS0471,0.08,Medium,2
NS0472,0.01,Medium,2
NS0563,0.12,Medium,2
NS0566,0.02,Medium,2
NS0568,0.04,Medium,2
NS0570,0.05,Medium,2
NS0657,0.02,Medium,2
NS0662,0.03,Medium,2
NS0663,0.05,Medium,2
NS0666,0.03,Medium,2
NS0668,0.02,Medium,2
NS0669,0.02,Medium,2
NS0761,0.05,Medium,2
NS0762,0.01,Medium,2
NS0763,0.04,Medium,2
NS0764,0.03,Medium,2
NS0765,0.04,Medium,2
NS0766,0.05,Medium,2
NS0767,0.05,Medium,2
NS0853,0.12,Medium,2
NS0854,0.07,Medium,2
NS0856,0.01,Medium,2
NS0857,0.08,Medium,2
NS0858,0.09,Medium,2
NS0859,0.13,Medium,2
NS0860,0.12,Medium,2
NS0861,0.05,Medium,2
NS0862,0.02,Medium,2
NS0863,0.04,Medium,2
NS0864,0.02,Medium,2
NS0866,0.03,Medium,2
NS0951,0.05,Medium,2
NS0952,0.08,Medium,2
NS0953,0.01,Medium,2
NS0954,0.07,Medium,2
NS0957,0.03,Medium,2
NS0958,0.11,Medium,2
NS0960,0.14,Medium,2
NS0961,0.16,Medium,2
NS0963,0.03,Medium,2
NS0964,0.18,Medium,2
NS0965,0.03,Medium,2
NS1052,0.14,Medium,2
NS1054,0.03,Medium,2
NS1056,0.01,Medium,2
NS1057,0.06,Medium,2
NS1058,0.01,Medium,2
NS1059,0.05,Medium,2
NS1060,0.05,Medium,2
NS1061,0.05,Medium,2
NS1062,0.02,Medium,2
NS1063,0.03,Medium,2
NS1064,0.02,Medium,2
NS1065,0.01,Medium,2
NS1153,0.04,Medium,2
NS1154,0.01,Medium,2
