FM_EQ_D,Sub_group,Board_group
AEOLIAN DEPOSITS,wind,weathering
AILLEAG DIAMICTON FORMATION,river,hydrological
ALNE GLACIOLACUSTRINE FORMATION,lakes,hydrological
ALTURLIE GRAVELS FORMATION,gravel,petrological
ARDERSIER SILTS FORMATION,Silt,petrological
ARDVERIKIE TILL FORMATION,glacier,hydrological
ARUN FORMATION,river,hydrological
ASSYNT GLACIGENIC FORMATION,glacier,hydrological
BAGINTON SAND AND GRAVEL FORMATION,river,hydrological
BALLAUGH FORMATION,gravel,petrological
BANCHORY TILL FORMATION,river,hydrological
BANK FARM SAND AND GRAVEL,Anthropogentic,Anthropogentic
BEINN AN UAIN TILL FORMATION,glacier,hydrological
BENHOLM CLAY FORMATION,river,hydrological
BLAIRDAFF MORAINE FORMATION,pit,landforms
BREIGHTON SAND FORMATION,Sand,petrological
BREWOOD TILL FORMATION,glacier,hydrological
BREYDON FORMATION,river,hydrological
BRITON'S LANE FORMATION,Anthropogentic,Anthropogentic
BURTLE FORMATION,marine,hydrological
BYTHAM SAND AND GRAVEL FORMATION,river,hydrological
CADDER SAND AND GRAVEL FORMATION,Sand_gravel,petrological
CAESAR'S CAMP GRAVEL FORMATION,gravel,petrological
CEARDAICH SAND AND GRAVEL FORMATION,Sand_gravel,petrological
CHAPELKNOWE TILL FORMATION,glacier,hydrological
CHELSFIELD GRAVEL FORMATION,gravel,petrological
CHEMICAL DEPOSITS,chemical,weathering
CHORLEYWOOD GRAVEL FORMATION,gravel,petrological
CLAY,clay,petrological
CODDINGTON TILL FORMATION,glacier,hydrological
COLCHESTER FORMATION,river,hydrological
COLWALL GELIFLUCTATE FORMATION,stratified,geological
CULLIVAIT SILTS FORMATION,Silt,petrological
CURRAGH FORMATION,peat,organic
DALSWINTON MORAINE FORMATION,glacier,hydrological
DRUMLITHIE SAND AND GRAVEL FORMATION,Sand_gravel,petrological
EASTERN YAR RIVER FORMATION,river,hydrological
ELVINGTON GLACIOLACUSTRINE FORMATION,glacier,hydrological
FARNHAM GLACIOFLUVIAL FORMATION,glacier,hydrological
FENLAND FORMATION,remove,remove
FINGLACK TILL FORMATION,glacier,hydrological
FLUVIAL DEPOSITS,river,hydrological
GAICK PLATEAU MORAINE FORMATION,ridges,landforms
GLACIAL DEPOSITS,glacier,hydrological
GLACIGENIC DEPOSITS,glacier,hydrological
